Gender,Do you have any known sleep disorders?,Daily sleep duration,Rate the quality of your sleep,Please select any common factors that disturb your sleep,"Do you use electronic devices (smartphones, tablets, computers) before bedtime?", Do you consume caffeine or alcohol close to bedtime? ,What do you believe is the primary reason for your sleeplessness? (Select the most relevant option),Have you made any efforts to improve your sleep quality or reduce sleeplessness? (Select all that apply)
Male,No,4 - 6 hours,3,"Light, Uncomfortable mattress or bedding, sweating",Yes,Yes,Irregular sleep schedule,"None of the above, reduced previous habits of caffeine before bed"
Female,No,6 - 8 hours,3,"Stress, Noise, Light, Physical pain",Yes,No,"Stress and Anxiety, Physical discomfort or pain, Noise and disturbances, Work or study-related factors, Irregular sleep schedule","Changed bedtime routine, Practiced relaxation techniques"
Female,No,4 - 6 hours,2,"Stress, Uncomfortable mattress or bedding, Physical pain, Restless legs, Frequent bathroom trips",Yes,No,"Stress and Anxiety, Physical discomfort or pain, Work or study-related factors, Irregular sleep schedule","Changed bedtime routine, Adjusted bedroom environment"
Prefer not to say,Yes,4 - 6 hours,2,"Stress, Noise, Light, Physical pain, Restless legs",Yes,No,"Stress and Anxiety, Noise and disturbances, Work or study-related factors, Irregular sleep schedule","Changed bedtime routine, Adjusted bedroom environment, Used sleep aids or medications, Consulted a healthcare professional"
Female,No,6 - 8 hours,3,Heat,Yes,No,"Noise and disturbances, Heat","Changed bedtime routine, Adjusted bedroom environment"
Female,No,6 - 8 hours,4,"Stress, Noise",Yes,No,"Stress and Anxiety, Physical discomfort or pain, Noise and disturbances","Changed bedtime routine, Practiced relaxation techniques"
Female,No,6 - 8 hours,4,"Stress, Noise, Light, Uncomfortable mattress or bedding, Physical pain, Restless legs",Yes,No,"Stress and Anxiety, Noise and disturbances, Irregular sleep schedule",Changed bedtime routine
Female,No,6 - 8 hours,4,"Noise, Physical pain, Restless legs",Yes,No,"Physical discomfort or pain, Noise and disturbances, Work or study-related factors, Irregular sleep schedule","Changed bedtime routine, Adjusted bedroom environment"
Female,No,6 - 8 hours,3,Stress,Yes,No,Stress and Anxiety,Changed bedtime routine
Female,No,6 - 8 hours,5,"Noise, Light, Uncomfortable mattress or bedding",Yes,No,"Noise and disturbances, Irregular sleep schedule","Changed bedtime routine, Adjusted bedroom environment"
